Model,Cutoff,Observed Sp,Estimated Total Sp,SE,Lower CB,Upper CB,Chi Sq,GOF0,GOF5,AIC,AICc,T1,T2,T3,T4,T5,T6,T7,CV Rare
SingleExp,192,994,1104.753605,11.3135374,1084.820869,1129.370493,5834596.455,,0,1334.970665,1334.974697,9.488933602,,,,,,,
SingleExp,195,995,1102.849055,11.18973248,1083.149992,1127.215022,6318773.473,,0,1364.401729,1364.405757,9.674371859,,,,,,,
SingleExp,209,996,1100.876144,11.06095153,1081.420212,1124.981208,10176941.56,,0,1395.872449,1395.876473,9.873493976,,,,,,,
SingleExp,211,997,1098.965452,10.93562256,1079.746175,1122.816682,11948226.15,,0,1426.9854,1426.98942,10.07422267,,,,,,,
SingleExp,217,999,1095.265464,10.69116292,1076.507924,1118.621813,22122514.3,,0,1490.650871,1490.654883,10.48648649,,,,,,,
SingleExp,265,1000,1093.10987,10.54779486,1074.623266,1116.176205,203794695.2,,0,1529.284488,1529.288496,10.74,,,,,,,
TwoMixedExp,6,716,1505.079803,37.72810853,1436.379947,1584.595165,84.93619224,,0,136.0759053,136.1096131,1.417596295,1.417599392,0.525189477,,,,,
TwoMixedExp,7,742,1470.16567,35.55785453,1405.477286,1545.174206,66.23014641,,0,122.9834355,123.0159559,1.578165511,1.578168906,0.527211624,,,,,
TwoMixedExp,8,770,1433.723482,,,,66.78836589,,0,126.0970568,126.1283884,1.775321987,1.775327825,0.539465671,,,,,
TwoMixedExp,9,783,1416.783821,34.14688262,1355.048495,1489.253597,53.7214542,,0,115.9861394,116.0169482,1.878668056,1.878676303,0.548998346,,,,,
TwoMixedExp,10,806,1387.148987,34.64279779,1324.98362,1461.205823,71.8933584,,0,131.5036706,131.5335958,2.081878565,2.081894548,0.543818305,,,,,
TwoMixedExp,11,818,1372.149055,34.73702955,1310.052405,1446.682292,65.49986333,,0,130.1643192,130.1938032,2.198031607,2.19805902,0.547549599,,,,,
TwoMixedExp,12,831,1355.775889,32.18910455,1298.070419,1424.652951,68.20483443,,4.62E-08,135.9713367,136.0003572,2.335671629,2.335818869,0.535163388,,,,,
TwoMixedExp,13,840,1597.207974,285.2179442,1245.634779,2451.982349,51.4054677,1.47E-07,1.36E-05,128.5465574,128.5752655,0.329329633,2.755018307,0.307076018,,,,,
TwoMixedExp,14,856,1560.521689,160.6042224,1323.214681,1972.061549,69.84589641,,6.87E-06,145.2126192,145.2407882,0.483278833,3.150361234,0.357216023,,,,,
TwoMixedExp,15,862,1553.385004,139.9152514,1339.730808,1901.404746,62.29645204,,2.57E-07,142.6298598,142.6578318,0.532403331,3.317144881,0.378547292,,,,,
TwoMixedExp,16,869,1545.744711,121.0503362,1355.17748,1838.559048,57.93479745,1.23E-07,5.01E-07,143.269492,143.2972377,0.591025624,3.536271533,0.405090997,,,,,
TwoMixedExp,17,878,1537.407845,103.7302111,1369.404904,1781.817429,60.24793635,1.06E-07,7.14E-07,149.3548782,149.3823381,0.662726737,3.848123837,0.438861032,,,,,
TwoMixedExp,18,879,1536.439293,102.0256651,1370.734636,1776.207797,57.82500975,5.94E-07,3.31E-06,147.4503935,147.477822,0.671095663,3.886541441,0.44276965,,,,,
TwoMixedExp,19,882,1532.963214,96.62592793,1374.643411,1758.187064,53.63935748,5.94E-06,2.02E-05,146.4015821,146.428917,0.699739023,4.014872011,0.455764519,,,,,
TwoMixedExp,20,890,1524.013403,84.80309031,1382.363171,1718.139369,62.64693533,3.82E-07,0.000619738,156.5242348,156.5513229,0.775287054,4.388717216,0.489819944,,,,,
TwoMixedExp,21,894,1519.792536,80.09909815,1384.970848,1701.830496,59.33534014,2.62E-06,0.001035015,157.7663682,157.7933345,0.811637298,4.590803337,0.505982666,,,,,
TwoMixedExp,22,898,1515.421575,75.81899057,1386.916547,1686.606457,57.05545287,1.12E-05,0.001680541,159.7407198,159.7675654,0.848845857,4.809557432,0.522124189,,,,,
TwoMixedExp,23,906,1507.246879,68.91807788,1389.130771,1661.215756,70.81753125,1.34E-07,3.73E-05,172.6087323,172.6353399,0.918928015,5.275231848,0.551642468,,,,,
TwoMixedExp,24,907,1506.226792,68.15595797,1389.274197,1658.316341,68.29377942,6.58E-07,3.61E-05,171.6832261,171.7098042,0.927595219,5.337288468,0.555175937,,,,,
TwoMixedExp,25,911,1501.830436,65.1402057,1389.51645,1646.529271,66.94289023,1.98E-06,0.00048136,175.1408702,175.1673311,0.964165238,5.603725265,0.569666508,,,,,
TwoMixedExp,26,913,1499.543145,63.70431411,1389.456444,1640.747784,63.82394585,1.05E-05,0.000675494,175.3925474,175.41895,0.982935436,5.745704156,0.576884121,,,,,
TwoMixedExp,27,915,1497.089092,62.26592846,1389.246356,1634.810223,61.14649431,4.39E-05,0.001419859,176.0421114,176.0684561,1.002752751,5.897311723,0.584315763,,,,,
TwoMixedExp,28,917,1494.487938,60.83826046,1388.884942,1628.767778,58.90242183,0.000147855,0.001970716,177.0597839,177.0860709,1.023499071,6.058650494,0.591906464,,,,,
TwoMixedExp,29,918,1493.094823,60.11383762,1388.633239,1625.634866,57.00959424,0.000417469,0.001591694,177.0798227,177.1060809,1.034476573,6.144447285,0.595840297,,,,,
TwoMixedExp,30,921,1488.753319,57.99188417,1387.653156,1616.220461,58.09786889,0.000465737,0.012636879,181.1852075,181.2113798,1.068454273,6.416804044,0.607718783,,,,,
