"","tau","Model","Est","SE","AICc","GOF0","GOF5"
"42",50,"Poisson",1002.97170136215,1.74242078555921,4965.64424474536,0,0
"43",51,"Poisson",1002.70247250622,1.66019390277563,5213.38400446604,0,0
"44",53,"Poisson",1002.5721524434,1.6189917174202,5344.17365458443,0,0
"45",54,"Poisson",1002.44584177282,1.57809443785924,5478.56729767708,0,0
"46",55,"Poisson",1002.20774680046,1.49815071384931,5755.08845641098,0,0
"47",56,"Poisson",1002.09575178198,1.45911720979765,5895.81734969847,0,0
"48",58,"Poisson",1001.98550010246,1.41969830767663,6044.60643075504,0,0
"49",61,"Poisson",1001.77163574813,1.34009750252367,6367.87725564911,0,0
"50",62,"Poisson",1001.57836021277,1.26405515171771,6696.19921390835,0,0
"51",67,"Poisson",1001.39234482594,1.18647020169054,7066.40021991469,0,0
"52",68,"Poisson",1001.30667854686,1.1490461622455,7253.69987259404,0,0
"53",74,"Poisson",1001.2187968472,1.10938954499072,7468.26306169347,0,0
"54",75,"Poisson",1001.05874093625,1.03339093275671,7904.11631967916,0,0
"55",78,"Poisson",1000.98390940479,0.995931686002968,8133.68439684691,0,0
"56",83,"Poisson",1000.77843834395,0.885186331511982,8889.81129540894,0,0
"57",84,"Poisson",1000.71949736468,0.850826078717342,9142.1796515414,0,0
"58",85,"Poisson",1000.66445838863,0.817465052047375,9397.76254147024,0,0
"59",87,"Poisson",1000.564676351,0.753299976073134,9924.80050674989,0,0
"60",99,"Poisson",1000.51429667801,0.718769153558407,10245.3901648408,0,0
"61",101,"Poisson",1000.46755149593,0.68519944357133,10573.9980607834,0,0
"62",111,"Poisson",1000.42079749794,0.649916645527622,10952.6736977663,0,0
"63",114,"Poisson",1000.37766954427,0.61560373176865,11344.5132377533,0,0
"64",119,"Poisson",1000.33729097253,0.581668757877618,11760.2701403076,0,0
"65",121,"Poisson",1000.30069098126,0.549120391403137,12183.6575706831,0,0
"66",126,"Poisson",1000.26676741973,0.517144346990414,12630.9661215618,0,0
"67",128,"Poisson",1000.23625319578,0.486606297686846,13085.725683954,0,0
"68",132,"Poisson",1000.20843377535,0.457004747298143,13558.8614279071,0,0
"69",138,"Poisson",1000.18281967819,0.427956271263547,14061.4148898348,0,0
"70",139,"Poisson",1000.16023683816,0.40061344699684,14565.5268285621,0,0
"71",145,"Poisson",1000.13962937255,0.373931797145394,15099.0084991798,0,0
